Model,Class_ID,Class_Name,Precision,Recall,mAP50,mAP50-95
YOLO26s_150epochs,93,fish_sauce,0.9790052625150495,0.9581754808917652,0.9647916666666666,0.8486807344303626
RTDETR_L_150epochs,94,flaxseed_oil,0.9963124016456284,0.9305555555555556,0.9546407867494824,0.7489287479415628
YOLO26s_150epochs,94,flaxseed_oil,0.9704410925281745,0.8958333333333334,0.9130276108634318,0.7223704750045757
RTDETR_L_150epochs,95,flour,0.9848977104514967,0.9250503712286375,0.9334901963961629,0.6823019262614854
YOLO26s_150epochs,95,flour,0.9328934654958854,0.8723404255319149,0.8968897167805698,0.6587028644029111
RTDETR_L_150epochs,96,freekeh,0.9841290287842249,0.9197080291970803,0.9241693121693122,0.7274131150682442
YOLO26s_150epochs,96,freekeh,0.9530057767323666,0.8881531709992128,0.9123348559347297,0.672057143296947
RTDETR_L_150epochs,97,fruit_cocktail,0.9929304060739877,0.9647887323943662,0.965,0.7524839651299186
YOLO26s_150epochs,97,fruit_cocktail,0.9634444070349109,0.9280228054569822,0.9428031147916163,0.777425922267938
RTDETR_L_150epochs,98,fusilli,0.9366755414356074,0.7448275862068966,0.7742897692503663,0.5020979042342963
YOLO26s_150epochs,98,fusilli,0.9454780968181364,0.6689655172413793,0.7260489038433396,0.4652585370871586
RTDETR_L_150epochs,99,garlic,0.9581927177482913,0.8848920863309353,0.8806845511418739,0.6493985700683714
YOLO26s_150epochs,99,garlic,0.9420303787539922,0.8183772862363488,0.8556470544585777,0.625697589886243
RTDETR_L_150epochs,100,garlic_bulb,0.9994283105559724,0.9652777777777778,0.965,0.778636272903783
YOLO26s_150epochs,100,garlic_bulb,0.9716692659975373,0.952711881601899,0.963936305028237,0.8217760184406174
RTDETR_L_150epochs,101,ginger,0.9612851874217998,0.8681854448441703,0.8823799129172714,0.6736731555716421
YOLO26s_150epochs,101,ginger,0.9463972964021281,0.8391608391608392,0.8626889760097682,0.6801056704482565
RTDETR_L_150epochs,102,glass_noodle,0.9894131515545294,0.9640287769784173,0.9645555555555555,0.7462294361760805
YOLO26s_150epochs,102,glass_noodle,0.9535891304422607,0.9712230215827338,0.9833406751681018,0.7940022910043661
RTDETR_L_150epochs,103,goat,1.0,0.9480443801180221,0.9550000000000001,0.738681896650247
YOLO26s_150epochs,103,goat,0.9670338323580872,0.8914728682170543,0.893872571872572,0.6709595520784586
RTDETR_L_150epochs,104,goji_berry,0.9704191978598116,0.898795329976269,0.9127250177693425,0.7018192297835208
YOLO26s_150epochs,104,goji_berry,0.9314917942584366,0.8835616438356164,0.8978154800440836,0.6536167654944196
RTDETR_L_150epochs,105,goose,0.9922179201466496,0.9239296917498422,0.921279069767442,0.6582833977080853
YOLO26s_150epochs,105,goose,0.9261786901669653,0.8695652173913043,0.8681869715254658,0.6359611355144247
RTDETR_L_150epochs,106,grapefruit,0.9860362840297944,0.9230691527500821,0.9441078046131238,0.7096144017907435
YOLO26s_150epochs,106,grapefruit,0.9623849231762306,0.9215686274509803,0.9242324485239395,0.6885548782794058
RTDETR_L_150epochs,107,grapeseed_oil,0.9982690188110164,0.9393939393939394,0.935,0.7511846550954616
YOLO26s_150epochs,107,grapeseed_oil,0.9768735333502163,0.9318181818181818,0.9347586991869918,0.7441170029883629
RTDETR_L_150epochs,108,green_bean,0.9872914318314023,0.9191176470588235,0.915,0.7297106006330786
YOLO26s_150epochs,108,green_bean,0.9306522635986059,0.8881033174416835,0.911320543747588,0.7118939926553784
RTDETR_L_150epochs,109,green_onion,0.9834617446092516,0.8823529411764706,0.8842519630803142,0.6374390107317238
YOLO26s_150epochs,109,green_onion,0.9047957461382066,0.8385671137889598,0.8536750208403152,0.6294666152569445
RTDETR_L_150epochs,110,grouse,0.9727206317531504,0.8976377952755905,0.8872755954334902,0.6272526436663921
YOLO26s_150epochs,110,grouse,0.9469271569058471,0.8582677165354331,0.8904479320763803,0.6406098552809029
RTDETR_L_150epochs,111,guava,0.990613168041097,0.9328358208955224,0.9348412698412699,0.7206935431931242
YOLO26s_150epochs,111,guava,0.9707042437352577,0.8507462686567164,0.8825182816177971,0.6903192977956817
RTDETR_L_150epochs,112,guinea_fowl,0.9949807333226126,0.9305555555555556,0.935,0.6699359523154926
YOLO26s_150epochs,112,guinea_fowl,0.9833140049234825,0.8819444444444444,0.9041692061574567,0.6545672310470322
RTDETR_L_150epochs,113,haddock,0.995959297394833,0.9387755102040817,0.935,0.6890342780617982
YOLO26s_150epochs,113,haddock,0.9851870983479021,0.9048813798213673,0.9144117647058823,0.6443319585221594
RTDETR_L_150epochs,114,ham,0.9996388048586936,0.9769230769230769,0.975,0.7947295190392045
