raw_name,normalized_name
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
navy beans,navy_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
lima beans,lima_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
cannellini beans,cannellini_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
adzuki beans,adzuki_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
fava beans,fava_bean
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
chickpeas,chickpea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
green peas,green_pea
