==========================================
   DATASET CLASS DISTRIBUTION REPORT
==========================================

--- SPLIT: TRAIN ---
Tổng số ảnh: 25000
Tổng số vật thể (instances): 165876
ID    | Class Name                | Count   
68    | corn                      | 662     
69    | corn_grit                 | 703     
70    | cornmeal                  | 710     
71    | couscouscucumber          | 679     
72    | crab                      | 682     
73    | cracked_wheat             | 689     
74    | cranberry                 | 691     
75    | cucumber                  | 694     
76    | cumin                     | 665     
77    | daikon                    | 697     
78    | deer                      | 664     
79    | dragon_fruit              | 657     
80    | duck                      | 682     
81    | dumpling_wrapper          | 729     
82    | durian                    | 697     
83    | egg                       | 669     
84    | einkorn                   | 688     
85    | elderberry                | 674     
86    | elk                       | 688     
87    | emmer                     | 718     
88    | farfalle                  | 700     
89    | farro                     | 701     
90    | fava_bean                 | 688     
91    | fennel                    | 719     
92    | fettuccine                | 672     
93    | fish_sauce                | 672     
94    | flaxseed_oil              | 684     
95    | flour                     | 684     
96    | freekeh                   | 687     
97    | fruit_cocktail            | 683     
98    | fusilli                   | 693     
99    | garlic                    | 665     
100   | garlic_bulb               | 675     
101   | ginger                    | 674     
102   | glass_noodle              | 681     
103   | goat                      | 705     
104   | goji_berry                | 689     
105   | goose                     | 682     
106   | grapefruit                | 696     
107   | grapeseed_oil             | 659     
108   | green_bean                | 660     
109   | green_onion               | 697     
110   | grouse                    | 699     
111   | guava                     | 710     
112   | guinea_fowl               | 678     
113   | haddock                   | 711     
114   | ham                       | 670     
115   | horseradish               | 678     
116   | huckleberry               | 701     
117   | jackfruit                 | 693     
118   | kale                      | 681     
119   | kamut                     | 686     
120   | kidney_bean               | 680     
121   | kiwi                      | 692     
122   | kohlrabi                  | 699     
123   | kumquat                   | 688     
124   | lamb                      | 697     
125   | lasagna                   | 669     
126   | leek                      | 693     
127   | lemon                     | 689     
128   | lemongrass                | 658     
129   | lentils                   | 707     
130   | lettuce                   | 686     
131   | lima_bean                 | 703     
132   | lime                      | 669     
133   | linguine                  | 708     
134   | lobster                   | 684     
135   | lychee                    | 688     
136   | macaroni                  | 682     
137   | mackerel                  | 670     
138   | mandarin                  | 680     
139   | mango                     | 678     
140   | milk                      | 686     
141   | millet                    | 726     
142   | mulberry                  | 683     
143   | mung_bean                 | 686     
144   | mushroom                  | 676     
145   | mustard_green             | 702     
146   | mutton                    | 657     
147   | navy_bean                 | 680     
148   | nectarine                 | 674     
149   | nutmeg                    | 680     
150   | oat                       | 696     
151   | octopus                   | 675     
152   | olive_oil                 | 689     
153   | olives                    | 671     
154   | onion                     | 682     
155   | orange                    | 696     
156   | ostrich                   | 681     
157   | oyster                    | 686     
158   | papaya                    | 674     
159   | paprika                   | 692     
160   | parsnip                   | 686     
161   | partridge                 | 675     
162   | passion_fruit             | 693     
163   | pasta                     | 690     
164   | pasta_sauce               | 659     
165   | pawpaw                    | 697     
166   | peach                     | 689     
167   | peanut_oil                | 673     
168   | pear                      | 699     
169   | peas                      | 675     
170   | penne                     | 695     
171   | pepper                    | 680     
172   | pesto                     | 695     
173   | pheasant                  | 680     
174   | pickle                    | 718     
175   | pineapple                 | 696     
176   | pinto_bean                | 696     
177   | plum                      | 703     
178   | pluot                     | 690     
179   | polenta                   | 697     
180   | pomelo                    | 688     
181   | pork                      | 713     
182   | potato                    | 694     
183   | pumpkin                   | 677     
184   | quail                     | 686     
185   | quinoa                    | 673     
186   | rabbit                    | 698     
187   | radicchio                 | 698     
188   | radish                    | 705     
189   | ramp                      | 672     
190   | raspberry                 | 696     
191   | refried_bean              | 692     
192   | rhubarb                   | 672     
193   | rice                      | 704     
194   | rigatoni                  | 674     
195   | romaine                   | 663     
196   | rotini                    | 660     
